Description,Price,Rating,Review Count,URL,Date
NORTIV 8 Men's 170410 Insulated Waterproof Construction Hiking Winter Snow Boots,"
                    £46.99
                   ","
                      4.4 out of 5 stars
                     ","
                    4,198
                   ",https://www.amazon.com/NORTIV-170410-Waterproof-Winter-Boots/dp/B07FS7B753/ref=sr_1_21?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-21,2022-10-12
"Snowledge Ski Snowboard Goggles with UV400 Protection, Skiing Snowboarding Goggles of Dual Lens with Anti Fog for Men, Women,Helmet Compatible","
                    £27.99
                   ","
                      4.5 out of 5 stars
                     ","
                    782
                   ",https://www.amazon.com/Snowledge-Snowboard-Goggles-Protection-Compatible/dp/B07GQN2PJ4/ref=sr_1_22?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-22,2022-10-12
"Merino Wool Ski Socks, Cold Weather Knee-High Thermal Socks for Winter, Snow, Snowboarding, Hiking","
                    £22.31
                   ","
                      4.7 out of 5 stars
                     ","
                    122
                   ",https://www.amazon.com/Merino-Weather-Knee-High-Thermal-Snowboarding/dp/B09M3HCSGS/ref=sr_1_23?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-23,2022-10-12
OutdoorMaster Ski Goggles PRO Replacement Lens,"
                    £27.99
                   ","
                      4.6 out of 5 stars
                     ","
                    2,372
                   ",https://www.amazon.com/OutdoorMaster-Ski-Goggles-Replacement-Lens/dp/B074JY1NHC/ref=sr_1_24?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-24,2022-10-12
"Merino Wool Socks High Performance Compression Ski Socks Mens and Women Thermal Knee High Socks, 2 Pairs","
                    £25.99
                   ","
                      4.4 out of 5 stars
                     ","
                    39
                   ",https://www.amazon.com/Merino-Performance-Compression-Socks-Thermal/dp/B09MD5RHY3/ref=sr_1_25?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-25,2022-10-12
DREAM PAIRS Women’s Waterproof Wellington Duck Rain Boots Outdoor Ankle Low Heel Snow Boots Ladies Originals Lace-up Winter Boots,"
                    £29.99
                   ","
                      5.0 out of 5 stars
                     ","
                    1
                   ",https://www.amazon.com/DREAM-PAIRS-Originals-Waterproof-SDSB2211W-1/dp/B09ZLGFH4D/ref=sr_1_26?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-26,2022-10-12
"RAYZOR Ski Goggles Snowboard Goggles For Men & Women – OTG Ski Mask with UV400 Protection – Anti-Fog and Shatterproof Skiing Goggles, Anti-Glare Protective Goggles for Men Women Boys & Girls","
                    £21.95
                   ","
                      4.5 out of 5 stars
                     ","
                    869
                   ",https://www.amazon.com/Rayzor-Protection-Comfortable-Shatterproof-Snowmobiles/dp/B002MQ6LTY/ref=sr_1_27?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-27,2022-10-12
5 Pairs Mens High Performance Thermal Ski Socks - Multicoloured - Mens UK Size 6-11 (EU 39-45),"
                    £11.95
                   ","
                      4.3 out of 5 stars
                     ","
                    363
                   ",https://www.amazon.com/SX167-6-11-Mens-Socks-Pack-6-11/dp/B08M3QKF95/ref=sr_1_28?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-28,2022-10-12
"SPOSUNE OTG Ski Goggles - Over Glasses Snow Snowboard Goggle with Anti fog Dual lens for Men Women Youth Kids Skiing Skating Snowmobile, Windproof UV400 Protection Winter Sports Protective Glasses","
                    £25.99
                   ","
                      4.6 out of 5 stars
                     ","
                    705
                   ",https://www.amazon.com/SPOSUNE-Protection-Spherical-Snowboard-Compatible/dp/B07WP2LSLR/ref=sr_1_29?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-29,2022-10-12
SAITAG Balaclava Ski Mask Warm Face Mask for Cold Weather Winter Skiing Snowboarding Motorcycling Ice Fishing Men,"
                    £17.59
                   ","
                      4.6 out of 5 stars
                     ","
                    364
                   ",https://www.amazon.com/SAITAG-Balaclava-Weather-Snowboarding-Motorcycling/dp/B09D2VX1F6/ref=sr_1_30?crid=2CAHDTR5AV0UH&keywords=skII&qid=1665564619&qu=eyJxc2MiOiIzLjYxIiwicXNhIjoiMi45NiIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=skii%2Caps%2C408&sr=8-30,2022-10-12
